words,tags,intent,sentence,slots,intent_id
"['We', 'start', 'to', '310', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We start to 310 knots,"{'action': 'start', 'speed': '310'}",
"['We', 'increase', 'to', '175', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We increase to 175 knots,"{'action': 'increase', 'speed': '175'}",
"['We', 'start', 'to', '190', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We start to 190 knots,"{'action': 'start', 'speed': '190'}",
"['We', 'start', 'to', '180', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We start to 180 knots,"{'action': 'start', 'speed': '180'}",
"['We', 'spin', 'up', 'to', '335', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We spin up to 335 knots,"{'action': 'spin up', 'speed': '335'}",
"['We', 'fire', 'up', 'to', '255', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 255 knots,"{'action': 'fire up', 'speed': '255'}",
"['We', 'reduce', 'to', '210', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 210 knots,"{'action': 'reduce', 'speed': '210'}",
"['We', 'reduce', 'to', '165', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 165 knots,"{'action': 'reduce', 'speed': '165'}",
"['We', 'engage', 'to', '300', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We engage to 300 knots,"{'action': 'engage', 'speed': '300'}",
"['We', 'accelerate', 'to', '275', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 275 knots,"{'action': 'accelerate', 'speed': '275'}",
"['We', 'spin', 'up', 'to', '300', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We spin up to 300 knots,"{'action': 'spin up', 'speed': '300'}",
"['We', 'increase', 'to', '230', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We increase to 230 knots,"{'action': 'increase', 'speed': '230'}",
"['We', 'decrease', 'to', '325', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 325 knots,"{'action': 'decrease', 'speed': '325'}",
"['We', 'bring', 'to', '335', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 335 knots,"{'action': 'bring', 'speed': '335'}",
"['We', 'set', 'to', '215', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We set to 215 knots,"{'action': 'set', 'speed': '215'}",
"['We', 'start', 'to', '185', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We start to 185 knots,"{'action': 'start', 'speed': '185'}",
"['We', 'push', 'to', '280', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We push to 280 knots,"{'action': 'push', 'speed': '280'}",
"['We', 'spin', 'up', 'to', '305', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We spin up to 305 knots,"{'action': 'spin up', 'speed': '305'}",
"['We', 'decrease', 'to', '280', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 280 knots,"{'action': 'decrease', 'speed': '280'}",
"['We', 'start', 'to', '270', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We start to 270 knots,"{'action': 'start', 'speed': '270'}",
"['We', 'fire', 'up', 'to', '255', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 255 knots,"{'action': 'fire up', 'speed': '255'}",
"['We', 'push', 'to', '200', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We push to 200 knots,"{'action': 'push', 'speed': '200'}",
"['We', 'decrease', 'to', '290', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 290 knots,"{'action': 'decrease', 'speed': '290'}",
"['We', 'bring', 'to', '340', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 340 knots,"{'action': 'bring', 'speed': '340'}",
"['We', 'spin', 'up', 'to', '195', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We spin up to 195 knots,"{'action': 'spin up', 'speed': '195'}",
"['We', 'engage', 'to', '285', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We engage to 285 knots,"{'action': 'engage', 'speed': '285'}",
"['We', 'decrease', 'to', '255', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 255 knots,"{'action': 'decrease', 'speed': '255'}",
"['We', 'spin', 'up', 'to', '335', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We spin up to 335 knots,"{'action': 'spin up', 'speed': '335'}",
"['We', 'accelerate', 'to', '205', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 205 knots,"{'action': 'accelerate', 'speed': '205'}",
"['We', 'bring', 'to', '340', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 340 knots,"{'action': 'bring', 'speed': '340'}",
"['We', 'engage', 'to', '345', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We engage to 345 knots,"{'action': 'engage', 'speed': '345'}",
"['We', 'fire', 'up', 'to', '235', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 235 knots,"{'action': 'fire up', 'speed': '235'}",
"['We', 'bring', 'to', '345', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 345 knots,"{'action': 'bring', 'speed': '345'}",
"['We', 'bring', 'to', '185', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 185 knots,"{'action': 'bring', 'speed': '185'}",
"['We', 'engage', 'to', '155', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We engage to 155 knots,"{'action': 'engage', 'speed': '155'}",
"['We', 'fire', 'up', 'to', '330', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 330 knots,"{'action': 'fire up', 'speed': '330'}",
"['We', 'accelerate', 'to', '265', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 265 knots,"{'action': 'accelerate', 'speed': '265'}",
"['We', 'accelerate', 'to', '335', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 335 knots,"{'action': 'accelerate', 'speed': '335'}",
"['We', 'set', 'to', '285', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We set to 285 knots,"{'action': 'set', 'speed': '285'}",
"['We', 'set', 'to', '270', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We set to 270 knots,"{'action': 'set', 'speed': '270'}",
"['We', 'fire', 'up', 'to', '190', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 190 knots,"{'action': 'fire up', 'speed': '190'}",
"['We', 'spin', 'up', 'to', '250', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We spin up to 250 knots,"{'action': 'spin up', 'speed': '250'}",
"['We', 'fire', 'up', 'to', '245', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 245 knots,"{'action': 'fire up', 'speed': '245'}",
"['We', 'decrease', 'to', '310', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 310 knots,"{'action': 'decrease', 'speed': '310'}",
"['We', 'start', 'to', '265', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We start to 265 knots,"{'action': 'start', 'speed': '265'}",
"['We', 'decrease', 'to', '225', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 225 knots,"{'action': 'decrease', 'speed': '225'}",
"['We', 'set', 'to', '325', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We set to 325 knots,"{'action': 'set', 'speed': '325'}",
"['We', 'decrease', 'to', '170', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We decrease to 170 knots,"{'action': 'decrease', 'speed': '170'}",
"['We', 'reduce', 'to', '240', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 240 knots,"{'action': 'reduce', 'speed': '240'}",
"['We', 'spin', 'up', 'to', '235', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We spin up to 235 knots,"{'action': 'spin up', 'speed': '235'}",
"['We', 'reduce', 'to', '190', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 190 knots,"{'action': 'reduce', 'speed': '190'}",
"['We', 'push', 'to', '260', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We push to 260 knots,"{'action': 'push', 'speed': '260'}",
"['We', 'accelerate', 'to', '280', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 280 knots,"{'action': 'accelerate', 'speed': '280'}",
"['We', 'push', 'to', '225', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We push to 225 knots,"{'action': 'push', 'speed': '225'}",
"['We', 'reduce', 'to', '160', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 160 knots,"{'action': 'reduce', 'speed': '160'}",
"['We', 'reduce', 'to', '175', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 175 knots,"{'action': 'reduce', 'speed': '175'}",
"['We', 'reduce', 'to', '310', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We reduce to 310 knots,"{'action': 'reduce', 'speed': '310'}",
"['We', 'accelerate', 'to', '320', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 320 knots,"{'action': 'accelerate', 'speed': '320'}",
"['We', 'bring', 'to', '290', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 290 knots,"{'action': 'bring', 'speed': '290'}",
"['We', 'fire', 'up', 'to', '170', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 170 knots,"{'action': 'fire up', 'speed': '170'}",
"['We', 'increase', 'to', '200', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We increase to 200 knots,"{'action': 'increase', 'speed': '200'}",
"['We', 'accelerate', 'to', '235', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 235 knots,"{'action': 'accelerate', 'speed': '235'}",
"['We', 'engage', 'to', '175', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We engage to 175 knots,"{'action': 'engage', 'speed': '175'}",
"['We', 'bring', 'to', '160', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We bring to 160 knots,"{'action': 'bring', 'speed': '160'}",
"['We', 'accelerate', 'to', '225', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We accelerate to 225 knots,"{'action': 'accelerate', 'speed': '225'}",
"['We', 'fire', 'up', 'to', '265', 'knots']","['O', 'B-action', 'I-action', 'O', 'B-speed', 'O']",1.0,We fire up to 265 knots,"{'action': 'fire up', 'speed': '265'}",
"['We', 'engage', 'to', '175', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We engage to 175 knots,"{'action': 'engage', 'speed': '175'}",
"['We', 'start', 'to', '340', 'knots']","['O', 'B-action', 'O', 'B-speed', 'O']",1.0,We start to 340 knots,"{'action': 'start', 'speed': '340'}",
